No	区分	キーワード	SEO難易度	月間検索数	判定	検索意図	解決ニーズ	テーマ	記事の方向性	ページ種類	トピック	ページグループ	想定ページタイトル	観点	トピカル貢献	ページ役割
523	＋α	仲介手数料 〇円	N/A	N/A	削除				解説		検索なし			対象外	不要	
524	＋α	仲介手数料 礼金 無料	26	10	削除	Know（無料の不動産会社を探したい）	仲介手数料が無料の不動産会社の仕組みを知りたい	値引き・節約	比較・解説	解説記事	無料の仕組み	仲介手数料値引き	仲介手数料無料・安い不動産会社の仕組み｜からくりとデメリット	権威構築	補足	解説記事
525	＋α	仲介手数料 礼金 なし	N/A	0	削除				解説		検索なし			対象外	不要	
526	＋α	仲介手数料 礼金 別	N/A	0	削除				解説		検索なし			対象外	不要	
527	＋α	仲介手数料 レオパレス	N/A	0	削除			特定企業	解説		検索なし			対象外	不要	
528	＋α	仲介手数料 例	45	0	削除				解説		検索なし			対象外	不要	
529	＋α	仲介手数料 ローン	30	90	記事	Know（仲介手数料をローンに組み込めるか知りたい）	仲介手数料とローンの関係を理解したい	基礎知識	解説	解説記事	基礎解説	仲介手数料_住宅ローン	仲介手数料はいつ払う？支払い方法・分割・ローン組み込みを解説	権威構築	必須	解説記事
530	＋α	仲介手数料 6万円とは	N/A	20	削除	Know（仲介手数料の仕組みを理解したい）	仲介手数料とは何か基本を理解したい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料とは？仕組み・計算・相場を完全ガイド	権威構築	必須	ピラーページ
531	＋α	仲介手数料 ローンに組み込む	29	110	記事	Know（仲介手数料をローンに組み込めるか知りたい）	仲介手数料を住宅ローンに含めて借りられるか知りたい	基礎知識	解説	解説記事	基礎解説	仲介手数料_住宅ローン	仲介手数料はいつ払う？支払い方法・分割・ローン組み込みを解説	権威構築	必須	解説記事
532	＋α	仲介手数料 ローン手数料	N/A	0	削除				解説		検索なし			対象外	不要	
533	＋α	仲介手数料 ローン特約	20	10	削除	Know（仲介手数料をローンに組み込めるか知りたい）	仲介手数料のローン特約（ローン不成立時の扱い）を知りたい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料はいつ払う？支払い方法・分割・ローン組み込みを解説	権威構築	必須	解説記事
534	＋α	仲介手数料 分かれとは	N/A	90	記事	Know（仲介手数料の仕組みを理解したい）	「分かれ」の意味と手数料の分配方法を知りたい	基礎知識	解説	解説記事	基礎解説	仲介手数料_不動産売買	不動産売買の仲介手数料はいくら？マンション・戸建・土地の計算方法	権威構築	必須	解説記事
535	＋α	仲介手数料 割引	27	140	記事	Know（手数料を安くする方法を知りたい）	仲介手数料の割引がある不動産会社を探したい	値引き・節約	ハウツー	ガイド記事	割引方法	仲介手数料_交渉ガイド	仲介手数料は値切れる？交渉・値引き方法｜言い方・タイミング	権威構築	補足	ハウツー
536	＋α	仲介手数料 分かれ	23	90	記事	Know（仲介手数料の概要を知りたい）	仲介手数料の「分かれ」の仕組みを理解したい	基礎知識	解説	解説記事	基礎解説	仲介手数料_不動産売買	不動産売買の仲介手数料はいくら？マンション・戸建・土地の計算方法	権威構築	必須	解説記事
537	＋α	仲介手数料 割合	42	50	削除	Know（仲介手数料の概要を知りたい）	仲介手数料の割合（物件価格に対する%）を知りたい	法律・制度	解説	解説記事	基礎解説	仲介手数料上限	仲介手数料の上限はいくら？宅建業法の規定と2024年改正	権威構築	必須	解説記事
538	＋α	仲介手数料 割引 交渉	43	20	削除	Do（手数料を値引き交渉したい）	仲介手数料の割引がある不動産会社を探したい	値引き・節約	ハウツー	ハウツー記事	交渉ガイド	仲介手数料_交渉ガイド	仲介手数料は値切れる？交渉・値引き方法｜言い方・タイミング	権威構築	補足	ハウツー
539	＋α	仲介手数料 割引 不動産	44	50	削除	Know（不動産取引の手数料を知りたい）	仲介手数料の割引がある不動産会社を探したい	不動産売買	解説	ガイド記事	不動産売買	仲介手数料_不動産売買	不動産売買の仲介手数料はいくら？マンション・戸建・土地の計算方法	権威構築	必須	解説記事
540	＋α	仲介手数料 割引 キャンペーン	N/A	0	削除				解説		検索なし			対象外	不要	
541	＋α	仲介手数料 分かれ 片手	N/A	0	削除				解説		検索なし			対象外	不要	
542	＋α	仲介手数料 割引 賃貸	30	30	削除	Know（賃貸の手数料ルールを知りたい）	仲介手数料の割引がある不動産会社を探したい	賃貸	解説	ガイド記事	賃貸特化	仲介手数料賃貸	賃貸の仲介手数料はいくら？相場・上限・交渉・無料物件の見つけ方	権威構築	補足	解説記事
543	＋α	仲介手数料 分かれ 賃貸	28	0	削除				解説		検索なし			対象外	不要	
544	＋α	ntt 仲介手数料	N/A	0	削除				解説		検索なし			対象外	不要	
545	＋α	仲介手数料 ガイドライン	42	30	削除	Know（仲介手数料の概要を知りたい）	仲介手数料のガイドライン・指針を確認したい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料とは？仕組み・計算・相場を完全ガイド	権威構築	必須	ピラーページ
546	＋α	仲介手数料 会社によって違う	24	10	削除	Know（仲介手数料の概要を知りたい）	不動産会社によって仲介手数料が異なる理由を知りたい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料とは？仕組み・計算・相場を完全ガイド	権威構築	必須	ピラーページ
547	＋α	仲介手数料 額	N/A	10	削除	Know（仲介手数料の概要を知りたい）	仲介手数料の具体的な金額を知りたい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料とは？仕組み・計算・相場を完全ガイド	権威構築	必須	ピラーページ
548	＋α	仲介手数料 概算	30	0	削除				解説		検索なし			対象外	不要	
549	＋α	仲介手数料 買付手数料 違い	N/A	0	削除				解説		検索なし			対象外	不要	
550	＋α	仲介手数料 学長	N/A	0	削除				解説		検索なし			対象外	不要	
551	＋α	仲介手数料 学割	N/A	0	削除				解説		検索なし			対象外	不要	
552	＋α	仲介手数料 外形標準課税	N/A	0	削除				解説		検索なし			対象外	不要	
553	＋α	仲介手数料 ガイドライン 賃貸	N/A	0	削除				解説		検索なし			対象外	不要	
554	＋α	エイブル 仲介手数料 学割	N/A	10	削除	Know（エイブルの仲介手数料を知りたい）		特定企業	解説	ガイド記事	特定企業	仲介手数料_特定企業		権威構築	不要	
555	＋α	仲介手数料 業務委託料	19	10	削除	Know（仲介手数料の概要を知りたい）	仲介手数料と業務委託料の違いを知りたい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料の勘定科目・仕訳｜個人事業主・法人の経費処理	権威構築	必須	解説記事
556	＋α	仲介手数料 業者間	30	10	削除	Know（仲介手数料の概要を知りたい）	不動産業者間取引の仲介手数料の扱いを知りたい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料とは？仕組み・計算・相場を完全ガイド	権威構築	必須	ピラーページ
557	＋α	仲介手数料 義務	N/A	10	削除	Know（仲介手数料の概要を知りたい）	仲介手数料の支払いが法的義務かどうか確認したい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料はいつ払う？支払い方法・分割・ローン組み込みを解説	権威構築	必須	解説記事
558	＋α	仲介手数料 業法	30	10	削除	Know（仲介手数料の法律を確認したい）	仲介手数料の法律を確認したい	法律・制度	解説	解説記事	法律・規制	仲介手数料上限	仲介手数料の上限はいくら？宅建業法の規定と2024年改正	権威構築	補足	解説記事
559	＋α	仲介手数料 業者売主	N/A	10	削除	Know（仲介手数料の概要を知りたい）	売主側の仲介手数料の仕組みを知りたい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料とは？仕組み・計算・相場を完全ガイド	権威構築	必須	ピラーページ
560	＋α	仲介手数料 逆算	33	0	削除				解説		検索なし			対象外	不要	
561	＋α	仲介手数料 業法違反	25	0	削除				解説		検索なし			対象外	不要	
562	＋α	仲介手数料 決め方	43	0	削除				解説		検索なし			対象外	不要	
563	＋α	仲介手数料 業務委託料 違い	18	20	削除	Know（仲介手数料のメリット・リスクを知りたい）	仲介手数料と業務委託料の違いを知りたい	比較・検討	解説	解説記事	比較・検討	仲介手数料_基礎解説	仲介手数料の勘定科目・仕訳｜個人事業主・法人の経費処理	権威構築	補足	解説記事
564	＋α	仲介手数料 業務委託料 違法	N/A	0	削除				解説		検索なし			対象外	不要	
565	＋α	仲介手数料 グループ会社	29	0	削除				解説		検索なし			対象外	不要	
566	＋α	グランドネクスト不動産 仲介手数料	41	20	削除	Know（不動産取引の手数料を知りたい）	不動産売買の仲介手数料を知りたい	不動産売買	解説	ガイド記事	不動産売買	仲介手数料_不動産売買	不動産売買の仲介手数料はいくら？マンション・戸建・土地の計算方法	権威構築	必須	解説記事
567	＋α	グランデ 仲介手数料	23	0	削除				解説		検索なし			対象外	不要	
568	＋α	グランディハウス 仲介手数料	30	10	削除	Know（仲介手数料の概要を知りたい）		基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料とは？仕組み・計算・相場を完全ガイド	権威構築	必須	
569	＋α	グランツエステート 仲介手数料	19	0	削除				解説		検索なし			対象外	不要	
570	＋α	グランホームズ 明石 仲介手数料	N/A	0	削除			特定企業	解説		検索なし			対象外	不要	
571	＋α	グールーム 仲介手数料	34	20	削除	Know（仲介手数料の概要を知りたい）		基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料とは？仕組み・計算・相場を完全ガイド	権威構築	必須	
572	＋α	グッドリビング 仲介手数料	24	0	削除				解説		検索なし			対象外	不要	
573	＋α	グッドルーム 仲介手数料	40	10	削除	Know（仲介手数料の概要を知りたい）		基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料とは？仕組み・計算・相場を完全ガイド	権威構築	必須	
574	＋α	グローバルセンター 仲介手数料	34	0	削除				解説		検索なし			対象外	不要	
575	＋α	仲介手数料 減価償却	32	50	削除	Know（仲介手数料の概要を知りたい）	仲介手数料の減価償却の要否を知りたい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料の勘定科目・仕訳｜個人事業主・法人の経費処理	権威構築	必須	解説記事
576	＋α	仲介手数料 減額	47	30	削除	Know（仲介手数料の概要を知りたい）	仲介手数料の具体的な金額を知りたい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料は値切れる？交渉・値引き方法｜言い方・タイミング	権威構築	必須	ハウツー
577	＋α	仲介手数料 限度額	45	40	削除	Know（仲介手数料の概要を知りたい）	仲介手数料の具体的な金額を知りたい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料の上限はいくら？宅建業法の規定と2024年改正	権威構築	必須	解説記事
578	＋α	仲介手数料 原則	41	30	削除	Know（仲介手数料の概要を知りたい）	仲介手数料の基本原則・ルールを確認したい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料とは？仕組み・計算・相場を完全ガイド	権威構築	必須	ピラーページ
579	＋α	仲介手数料 現金	46	30	削除	Know（仲介手数料の概要を知りたい）	仲介手数料は現金払いが必須なのか確認したい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料はいつ払う？支払い方法・分割・ローン組み込みを解説	権威構築	必須	解説記事
580	＋α	仲介手数料 原価	N/A	10	削除	Know（仲介手数料の概要を知りたい）	仲介手数料を原価に含めるか知りたい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料の勘定科目・仕訳｜個人事業主・法人の経費処理	権威構築	必須	解説記事
581	＋α	仲介手数料 源泉徴収	30	10	削除	Know（仲介手数料の概要を知りたい）	仲介手数料に源泉徴収が必要か知りたい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料に消費税はかかる？土地・建物の計算方法	権威構築	必須	解説記事
582	＋α	仲介手数料 限度	43	20	削除	Know（仲介手数料の概要を知りたい）	仲介手数料の限度額を確認したい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料の上限はいくら？宅建業法の規定と2024年改正	権威構築	必須	解説記事
583	＋α	仲介手数料 減額交渉	N/A	10	削除	Do（手数料を値引き交渉したい）	仲介手数料の減額交渉の方法を知りたい	値引き・節約	ハウツー	ハウツー記事	交渉ガイド	仲介手数料_交渉ガイド	仲介手数料は値切れる？交渉・値引き方法｜言い方・タイミング	権威構築	補足	ハウツー
584	＋α	仲介手数料 現金払い	N/A	0	削除				解説		検索なし			対象外	不要	
585	＋α	仲介手数料 後払い	32	20	削除	Know（仲介手数料の概要を知りたい）	仲介手数料を後払いにできるか知りたい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料はいつ払う？支払い方法・分割・ローン組み込みを解説	権威構築	必須	解説記事
586	＋α	仲介手数料 雑費	50	0	削除				解説		検索なし			対象外	不要	
587	＋α	仲介手数料 勘定科目 雑費	56	10	削除	Do（仕訳・勘定科目を調べたい）	仲介手数料の正しい勘定科目を知りたい	会計処理	実務ガイド	解説記事	会計処理	仲介手数料_会計処理	仲介手数料の勘定科目・仕訳｜個人事業主・法人の経費処理	権威構築	補足	解説記事
588	＋α	財産分与 不動産 仲介手数料	23	0	削除				解説		検索なし			対象外	不要	
589	＋α	雑種地 仲介手数料	N/A	0	削除				解説		検索なし			対象外	不要	
590	＋α	仲介手数料 住宅ローン	31	210	記事	Know（仲介手数料をローンに組み込めるか知りたい）	仲介手数料を住宅ローンに組み込めるか確認したい	基礎知識	解説	解説記事	基礎解説	仲介手数料_住宅ローン	仲介手数料はいつ払う？支払い方法・分割・ローン組み込みを解説	権威構築	必須	解説記事
591	＋α	仲介手数料 事務手数料	21	20	削除	Know（仲介手数料の概要を知りたい）	仲介手数料と事務手数料の違いを知りたい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料とは？仕組み・計算・相場を完全ガイド	権威構築	必須	ピラーページ
592	＋α	仲介手数料 自動計算	33	40	削除	Do（正確な金額を計算したい）	自分の物件の仲介手数料を正確に計算したい	計算方法	実務ガイド	計算ツール		仲介手数料計算	仲介手数料 計算ツール	ツール集客	必須	計算ツール
593	＋α	仲介手数料 譲渡費用	30	10	削除	Know（仲介手数料の概要を知りたい）	仲介手数料がどの程度の費用になるか知りたい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料の勘定科目・仕訳｜個人事業主・法人の経費処理	権威構築	必須	解説記事
594	＋α	仲介手数料 自社管理物件	N/A	0	削除				解説		検索なし			対象外	不要	
595	＋α	仲介手数料 図	42	0	削除				解説		検索なし			対象外	不要	
596	＋α	住む → ズ 仲介手数料	N/A	N/A	削除				解説		検索なし			対象外	不要	
597	＋α	仲介手数料 税金	27	170	記事	Know（仲介手数料の概要を知りたい）	仲介手数料にかかる税金の種類を知りたい	基礎知識	解説	解説記事	基礎解説	仲介手数料_消費税解説	仲介手数料に消費税はかかる？土地・建物の計算方法	権威構築	必須	解説記事
598	＋α	仲介手数料 税込	41	70	記事	Know（消費税がかかるか確認したい）	消費税がかかるか確認したい	税金	解説	解説記事	消費税解説	仲介手数料_消費税解説	仲介手数料に消費税はかかる？土地・建物の計算方法	権威構築	補足	解説記事
599	＋α	仲介手数料 ゼロ	34	140	記事	Know（仲介手数料がゼロ・不要のケースを知りたい）	仲介手数料ゼロ円の物件・会社を探したい	控除・特例	解説	解説記事	非課税・ゼロ	仲介手数料値引き	仲介手数料無料・安い不動産会社の仕組み｜からくりとデメリット	権威構築	補足	解説記事
600	＋α	仲介手数料 ゼロ 不動産	23	90	記事	Know（不動産取引の手数料を知りたい）	不動産売買の仲介手数料を知りたい	不動産売買	解説	ガイド記事	不動産売買	仲介手数料_不動産売買	不動産売買の仲介手数料はいくら？マンション・戸建・土地の計算方法	権威構築	必須	解説記事
601	＋α	仲介手数料 税金かかる	44	20	削除	Know（仲介手数料の概要を知りたい）	仲介手数料に消費税がかかるか確認したい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料に消費税はかかる？土地・建物の計算方法	権威構築	必須	解説記事
602	＋α	仲介手数料 税抜	N/A	0	削除				解説		検索なし			対象外	不要	
603	＋α	仲介手数料 税率	44	10	削除	Know（仲介手数料の税率を知りたい）	仲介手数料の手数料率を確認したい	税金	解説	ガイド記事	税率	仲介手数料_消費税解説	仲介手数料に消費税はかかる？土地・建物の計算方法	権威構築	補足	解説記事
604	＋α	仲介手数料 税	27	170	記事	Know（仲介手数料の概要を知りたい）	仲介手数料に関する税金の扱いを知りたい	基礎知識	解説	解説記事	基礎解説	仲介手数料_消費税解説	仲介手数料に消費税はかかる？土地・建物の計算方法	権威構築	必須	解説記事
605	＋α	仲介手数料 税務	31	10	削除	Know（仲介手数料の概要を知りたい）	仲介手数料の税務処理を確認したい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料に消費税はかかる？土地・建物の計算方法	権威構築	必須	解説記事
606	＋α	仲介手数料 ゼロにする	44	0	削除				解説		検索なし			対象外	不要	
607	＋α	仲介手数料 贈与税	N/A	0	削除				解説		検索なし			対象外	不要	
608	＋α	仲介手数料 増額	30	0	削除				解説		検索なし			対象外	不要	
609	＋α	仲介手数料 贈与	27	0	削除				解説		検索なし			対象外	不要	
610	＋α	不動産 仲介手数料 贈与	27	0	削除				解説		検索なし			対象外	不要	
611	＋α	造作譲渡 仲介手数料	21	20	削除	Know（仲介手数料の概要を知りたい）	造作譲渡（居抜き）時の仲介手数料の扱いを知りたい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料とは？仕組み・計算・相場を完全ガイド	権威構築	必須	ピラーページ
612	＋α	贈与契約 仲介手数料	N/A	0	削除				解説		検索なし			対象外	不要	
613	＋α	仲介手数料 大東建託	34	390	削除	Know（仲介手数料の概要を知りたい）		特定企業	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料とは？仕組み・計算・相場を完全ガイド	権威構築	不要	
614	＋α	仲介手数料 代理	23	10	削除	Know（仲介手数料の概要を知りたい）	代理契約の場合の仲介手数料を確認したい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料とは？仕組み・計算・相場を完全ガイド	権威構築	必須	ピラーページ
615	＋α	仲介手数料 だいたいいくら	43	0	削除				解説		検索なし			対象外	不要	
616	＋α	仲介手数料 誰が決める	N/A	0	削除				解説		検索なし			対象外	不要	
617	＋α	仲介手数料 出し方	30	10	削除	Know（仲介手数料の概要を知りたい）	仲介手数料の算出方法を知りたい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料とは？仕組み・計算・相場を完全ガイド	権威構築	必須	ピラーページ
618	＋α	仲介手数料 誰が払う 賃貸	41	0	削除				解説		検索なし			対象外	不要	
619	＋α	仲介手数料 代理手数料	N/A	0	削除				解説		検索なし			対象外	不要	
620	＋α	digroom 仲介手数料	N/A	0	削除				解説		検索なし			対象外	不要	
621	＋α	仲介手数料 デメリット	28	0	削除				解説		検索なし			対象外	不要	
622	＋α	仲介手数料 電卓	N/A	0	削除				解説		検索なし			対象外	不要	
623	＋α	仲介手数料 なし デメリット	26	50	削除	Know（仲介手数料のメリット・リスクを知りたい）	仲介手数料を払うメリット・払わない場合のリスクを知りたい	比較・検討	解説	解説記事	比較・検討	仲介手数料値引き	仲介手数料無料・安い不動産会社の仕組み｜からくりとデメリット	権威構築	補足	解説記事
624	＋α	仲介手数料 安い デメリット	24	10	削除	Buy（安い不動産会社を見つけたい）	仲介手数料を払うメリット・払わない場合のリスクを知りたい	値引き・節約	比較・解説	比較記事	安い不動産会社	仲介手数料値引き	仲介手数料無料・安い不動産会社の仕組み｜からくりとデメリット	権威構築	補足	解説記事
625	＋α	賃貸 仲介手数料 無料 デメリット	42	70	記事	Know（無料の裏側・デメリットが不安）	仲介手数料を払うメリット・払わない場合のリスクを知りたい	値引き・節約	ハウツー	解説記事	無料の仕組み	仲介手数料値引き	仲介手数料無料・安い不動産会社の仕組み｜からくりとデメリット	権威構築	補足	解説記事
626	＋α	オープンハウス ディベロップメント 仲介手数料	39	10	削除	Know（仲介手数料の概要を知りたい）		基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料とは？仕組み・計算・相場を完全ガイド	権威構築	必須	
627	＋α	ディールーム 仲介手数料	29	0	削除				解説		検索なし			対象外	不要	
628	＋α	ディーラー 仲介手数料	N/A	0	削除				解説		検索なし			対象外	不要	
629	＋α	電話問い合わせ 仲介手数料	27	10	削除	Know（仲介手数料の概要を知りたい）	仲介手数料について電話で問い合わせる方法を知りたい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料とは？仕組み・計算・相場を完全ガイド	権威構築	必須	ピラーページ
630	＋α	仲介手数料 どこに書いてある	39	50	削除	Know（仲介手数料の概要を知りたい）	仲介手数料の金額が書かれている書類・場所を知りたい	基礎知識	解説	解説記事	基礎解説	仲介手数料_領収書書類	仲介手数料の領収書・請求書・契約書｜印紙税と書式を解説	権威構築	必須	解説記事
631	＋α	仲介手数料 どれくらい	N/A	40	削除	Know（仲介手数料の概要を知りたい）	仲介手数料がだいたいどれくらいかかるか知りたい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料とは？仕組み・計算・相場を完全ガイド	権威構築	必須	ピラーページ
632	＋α	仲介手数料 どちらが払う	33	40	削除	Know（仲介手数料のメリット・リスクを知りたい）	仲介手数料の負担者（売主・買主）を確認したい	比較・検討	解説	解説記事	比較・検討	仲介手数料_基礎解説	仲介手数料はいつ払う？支払い方法・分割・ローン組み込みを解説	権威構築	補足	解説記事
633	＋α	仲介手数料 どこが安い	32	20	削除	Buy（安い不動産会社を見つけたい）	安い不動産会社を見つけたい	値引き・節約	比較・解説	比較記事	安い不動産会社	仲介手数料値引き	仲介手数料無料・安い不動産会社の仕組み｜からくりとデメリット	権威構築	補足	解説記事
634	＋α	仲介手数料 どこも同じ	26	0	削除				解説		検索なし			対象外	不要	
635	＋α	仲介手数料 どっちが払う	N/A	0	削除				解説		検索なし			対象外	不要	
636	＋α	仲介手数料 どのくらい値切れる	N/A	0	削除				解説		検索なし			対象外	不要	
637	＋α	仲介手数料 どのタイミング	31	0	削除				解説		検索なし			対象外	不要	
638	＋α	仲介手数料 どこまで値切れる	N/A	0	削除				解説		検索なし			対象外	不要	
639	＋α	仲介手数料 どこに払う	28	0	削除				解説		検索なし			対象外	不要	
640	＋α	仲介手数料 売買	29	1600	記事	Know（不動産取引の手数料を知りたい）	不動産売買の仲介手数料を知りたい	不動産売買	解説	ガイド記事	不動産売買	仲介手数料_不動産売買	不動産売買の仲介手数料はいくら？マンション・戸建・土地の計算方法	権威構築	必須	解説記事
641	＋α	仲介手数料 売買 上限	45	30	削除	Know（法律上の上限ルールを確認したい）	仲介手数料の法定上限額を確認したい	法律・制度	解説	解説記事	法律・規制	仲介手数料上限	仲介手数料の上限はいくら？宅建業法の規定と2024年改正	権威構築	必須	解説記事
642	＋α	仲介手数料 売却	27	140	記事	Know（仲介手数料の概要を知りたい）	不動産売却時の仲介手数料がいくらか知りたい	基礎知識	解説	解説記事	基礎解説	仲介手数料_不動産売買	不動産売買の仲介手数料はいくら？マンション・戸建・土地の計算方法	権威構築	必須	解説記事
643	＋α	仲介手数料 売買 計算	44	70	計算ページ	Do（正確な金額を計算したい）	自分の物件の仲介手数料を正確に計算したい	計算方法	実務ガイド	計算ツール		仲介手数料計算	仲介手数料 計算ツール	ツール集客	必須	計算ツール
644	＋α	仲介手数料 媒介契約書	N/A	0	削除				解説		検索なし			対象外	不要	
645	＋α	仲介手数料 売買 両手	N/A	10	削除	Know（不動産取引の手数料を知りたい）	両手仲介の仕組みと手数料の流れを知りたい	不動産売買	解説	ガイド記事	不動産売買	仲介手数料_不動産売買	不動産売買の仲介手数料はいくら？マンション・戸建・土地の計算方法	権威構築	必須	解説記事
646	＋α	仲介手数料 売買 不動産	32	3600	記事	Know（不動産取引の手数料を知りたい）	不動産売買の仲介手数料を知りたい	不動産売買	解説	ガイド記事	不動産売買	仲介手数料_不動産売買	不動産売買の仲介手数料はいくら？マンション・戸建・土地の計算方法	権威構築	必須	解説記事
647	＋α	仲介手数料 売買価格 消費税	26	10	削除	Know（消費税がかかるか確認したい）	仲介手数料にかかる消費税の扱いを知りたい	税金	解説	解説記事	消費税解説	仲介手数料_消費税解説	仲介手数料に消費税はかかる？土地・建物の計算方法	権威構築	補足	解説記事
648	＋α	仲介手数料 売買 相場	N/A	0	削除				解説		検索なし			対象外	不要	
649	＋α	仲介手数料 ビッグ	26	0	削除				解説		検索なし			対象外	不要	
650	＋α	仲介手数料 ビジネス	71	10	削除	Know（仲介手数料の概要を知りたい）	仲介手数料のビジネスモデル・収益構造を理解したい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料とは？仕組み・計算・相場を完全ガイド	権威構築	必須	ピラーページ
651	＋α	仲介手数料 ビジネス用語	27	0	削除				解説		検索なし			対象外	不要	
652	＋α	ビジョンエステート 仲介手数料	24	20	削除	Know（仲介手数料の概要を知りたい）		基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料とは？仕組み・計算・相場を完全ガイド	権威構築	必須	
653	＋α	不動産 ビッグ 仲介手数料	25	20	削除	Know（不動産取引の手数料を知りたい）	不動産売買の仲介手数料を知りたい	不動産売買	解説	ガイド記事	不動産売買	仲介手数料_不動産売買	不動産売買の仲介手数料はいくら？マンション・戸建・土地の計算方法	権威構築	必須	解説記事
654	＋α	ビレッジハウス 仲介手数料	25	10	削除	Know（仲介手数料の概要を知りたい）		基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料とは？仕組み・計算・相場を完全ガイド	権威構築	必須	
655	＋α	ビズリーチ 仲介手数料	48	0	削除				解説		検索なし			対象外	不要	
656	＋α	ビル売買 仲介手数料	42	0	削除				解説		検索なし			対象外	不要	
657	＋α	ビッグ 仲介手数料	N/A	50	削除	Know（仲介手数料の概要を知りたい）		基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料とは？仕組み・計算・相場を完全ガイド	権威構築	必須	
658	＋α	ビッグ 賃貸 仲介手数料	27	0	削除				解説		検索なし			対象外	不要	
659	＋α	仲介手数料 物件	48	40	削除	Know（不動産での仲介手数料を知りたい）	特定の物件の仲介手数料がいくらか知りたい	その他	解説	解説記事	不動産特化	仲介手数料_基礎解説	仲介手数料とは？仕組み・計算・相場を完全ガイド	権威構築	補足	ピラーページ
660	＋α	仲介手数料 分割	30	30	削除	Do（仲介手数料の延納・分割を知りたい）	仲介手数料を分割で支払えるか知りたい	支払い方法	解説	ハウツー記事	延納・分割	仲介手数料_基礎解説	仲介手数料はいつ払う？支払い方法・分割・ローン組み込みを解説	権威構築	補足	解説記事
661	＋α	仲介手数料 物件価格	42	10	削除	Know（不動産での仲介手数料を知りたい）	物件価格から仲介手数料を計算したい	その他	解説	解説記事	不動産特化	仲介手数料計算	仲介手数料 計算ツール	権威構築	補足	計算ツール
662	＋α	仲介手数料 物件価格 消費税	27	0	削除				解説		検索なし			対象外	不要	
663	＋α	仲介手数料 分譲	43	40	削除	Know（仲介手数料の概要を知りたい）	分譲マンション・分譲住宅の仲介手数料を知りたい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	不動産売買の仲介手数料はいくら？マンション・戸建・土地の計算方法	権威構築	必須	解説記事
664	＋α	仲介手数料 分割払い	30	10	削除	Do（仲介手数料の延納・分割を知りたい）	仲介手数料を分割払いできるか知りたい	支払い方法	解説	ハウツー記事	延納・分割	仲介手数料_基礎解説	仲介手数料はいつ払う？支払い方法・分割・ローン組み込みを解説	権威構築	補足	解説記事
665	＋α	仲介手数料 物件購入	N/A	0	削除				解説		検索なし			対象外	不要	
666	＋α	仲介手数料 物件によって違う	24	0	削除				解説		検索なし			対象外	不要	
