No	区分	キーワード	SEO難易度	月間検索数	判定	検索意図	テーマ	記事の方向性	ページ種類	トピック	ページグループ	想定ページタイトル	観点	トピカル貢献	ページ役割
607	＋α	不動産投資 グループ	N/A	10	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
608	＋α	不動産投資 グッドライフ	N/A	0	削除			解説		検索なし			対象外	不要
609	＋α	不動産投資 グロス	N/A	10	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
610	＋α	不動産投資 具体例	N/A	10	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
611	＋α	不動産投資 グラフ	N/A	10	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
612	＋α	不動産投資 グローバルリンク	N/A	0	削除			解説		検索なし			対象外	不要
613	＋α	リノシー 不動産投資	44	390	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
614	＋α	不動産投資 減価償却	29	320	記事	Know（減価償却・経費を知りたい）	会計処理	解説	解説記事	会計・経費	不動産投資_会計・経費		権威構築	補足
615	＋α	不動産投資 減税	N/A	40	記事	Know（不動産投資の控除・軽減を知りたい）	控除・特例	解説	解説記事	控除・特例	不動産投資控除		権威構築	補足
616	＋α	不動産投資 現実	30	40	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
617	＋α	不動産投資 芸能人	34	50	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
618	＋α	不動産投資 現金一括	27	40	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
619	＋α	不動産投資 減価償却 個人	52	20	記事	Know（減価償却・経費を知りたい）	会計処理	解説	解説記事	会計・経費	不動産投資_会計・経費		権威構築	補足
620	＋α	不動産投資 源泉徴収	45	10	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
621	＋α	不動産投資 源泉徴収票	45	20	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
622	＋α	不動産投資 ゲーム	30	40	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
623	＋α	不動産投資 減価償却 シミュレーション	30	110	計算ページ	Do（不動産投資をシミュレーションしたい）	計算方法	実務ガイド	計算ツール		不動産投資計算	不動産投資の計算方法・シミュレーション	ツール集客	必須	計算ツール
624	＋α	不動産投資 合同会社	N/A	50	記事	Buy（不動産投資会社を選びたい）	比較・検討	比較・解説	比較記事	おすすめ比較	不動産投資_おすすめ比較		権威構築	補足
625	＋α	不動産投資 合同会社 サラリーマン	29	20	記事	Know（年収別の投資戦略を知りたい）	その他	解説	ガイド記事	年収別	不動産投資_年収別		権威構築	補足
626	＋α	不動産投資 5000万円	28	10	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
627	＋α	不動産投資 五年ルール	N/A	0	削除			解説		検索なし			対象外	不要
628	＋α	不動産投資 五年後	N/A	0	削除			解説		検索なし			対象外	不要
629	＋α	不動産投資 雑費 目安	26	90	記事	Know（不動産投資の金額・相場を知りたい）	相場	データ一覧	ガイド記事	相場ガイド	不動産投資_相場ガイド		権威構築	補足
630	＋α	不動産投資 雑費	36	70	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
631	＋α	不動産投資 雑所得	N/A	10	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
632	＋α	不動産投資 雑誌	24	20	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
633	＋α	不動産投資 雑費 上限	N/A	10	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
634	＋α	不動産投資 雑費とは	N/A	0	削除			解説		検索なし			対象外	不要
635	＋α	不動産投資 雑費 100万	24	50	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
636	＋α	不動産投資 雑費 いくらまで	39	30	記事	Know（不動産投資の金額・相場を知りたい）	計算方法	データ一覧	ガイド記事	相場ガイド	不動産投資計算	不動産投資の計算方法・シミュレーション	権威構築	必須	計算ツール
637	＋α	不動産投資 雑費 税務調査	26	30	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
638	＋α	不動産投資 雑費 領収書	26	20	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
639	＋α	不動産投資 住宅ローン	33	480	記事	Know（不動産投資ローンを知りたい）	その他	解説	解説記事	ローン	不動産投資_ローン	不動産投資とローンの関係・活用法	権威構築	必須	解説記事
640	＋α	不動産投資 住宅ローン バレる	28	210	記事	Know（不動産投資ローンを知りたい）	その他	解説	解説記事	ローン	不動産投資_ローン	不動産投資とローンの関係・活用法	権威構築	必須	解説記事
641	＋α	不動産投資 実質利回り	28	90	記事	Know（不動産投資の利回りを知りたい）	その他	解説	解説記事	利回り	不動産投資_利回り	不動産投資と利回りの関係・目安を解説	権威構築	必須	解説記事
642	＋α	不動産投資 住宅ローン 組めない	29	50	記事	Know（不動産投資ローンを知りたい）	その他	解説	解説記事	ローン	不動産投資_ローン	不動産投資とローンの関係・活用法	権威構築	必須	解説記事
643	＋α	不動産投資 実質利回り 目安	47	70	記事	Know（不動産投資の利回りを知りたい）	その他	解説	解説記事	利回り	不動産投資_利回り	不動産投資と利回りの関係・目安を解説	権威構築	必須	解説記事
644	＋α	不動産投資 自己資金	31	140	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
645	＋α	不動産投資 自分で住む	25	70	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
646	＋α	不動産投資 自己資金なし	N/A	70	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
647	＋α	不動産投資 地震保険 年末調整	N/A	10	記事	Do（不動産投資の申告をしたい）	その他	解説	ハウツー記事	申告・届出	不動産投資_申告・届出		権威構築	補足
648	＋α	不動産投資 事業計画書	29	50	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
649	＋α	不動産投資 図解	N/A	10	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
650	＋α	不動産投資 仕組み 図解	31	170	記事	Know（不動産投資の始め方を知りたい）	基礎知識	解説	解説記事	基礎解説	不動産投資_基礎解説		権威構築	補足
651	＋α	不動産投資 税金	33	320	記事	Know（不動産投資の税金を知りたい）	その他	解説	解説記事	税金・節税	不動産投資_税金・節税		権威構築	補足
652	＋α	不動産投資 税金対策	49	260	記事	Know（不動産投資の税金を知りたい）	その他	解説	解説記事	税金・節税	不動産投資_税金・節税		権威構築	補足
653	＋α	不動産投資 税理士	26	140	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
654	＋α	不動産投資 税金対策 サラリーマン	33	50	記事	Know（不動産投資の税金を知りたい）	その他	解説	解説記事	税金・節税	不動産投資_税金・節税		権威構築	補足
655	＋α	不動産投資 税制改正	29	10	記事	Know（不動産投資の改正内容を知りたい）	法律・制度	解説	解説記事	法改正	不動産投資_法改正		権威構築	補足
656	＋α	不動産投資 税制優遇	N/A	0	削除			解説		検索なし			対象外	不要
657	＋α	不動産投資 税理士 費用	32	20	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
658	＋α	不動産投資 税率	33	20	記事	Know（不動産投資の税率を知りたい）	税金	解説	ガイド記事	税率	不動産投資税率		権威構築	補足
659	＋α	不動産投資 税金控除	31	10	記事	Know（不動産投資の税金を知りたい）	控除・特例	解説	解説記事	税金・節税	不動産投資控除		権威構築	補足
660	＋α	不動産投資 税金対策 仕組み	50	20	記事	Know（不動産投資の始め方を知りたい）	基礎知識	解説	解説記事	基礎解説	不動産投資_基礎解説		権威構築	補足
661	＋α	不動産投資 属性	N/A	20	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
662	＋α	不動産投資 増加	N/A	10	記事	Know（不動産投資が上がる理由を知りたい）	その他	解説	解説記事	値上がり・変動	不動産投資_値上がり・変動		権威構築	補足
663	＋α	不動産投資 贈与税	N/A	10	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
664	＋α	不動産投資 属性とは	N/A	10	記事	Know（不動産投資の始め方を知りたい）	基礎知識	解説	解説記事	基礎解説	不動産投資基礎解説	不動産投資とは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
665	＋α	不動産投資 贈与	45	10	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
666	＋α	不動産投資 zoom	N/A	0	削除			解説		検索なし			対象外	不要
667	＋α	不動産投資 融資 属性	N/A	10	記事	Know（不動産投資ローンを知りたい）	その他	解説	解説記事	ローン	不動産投資_ローン	不動産投資とローンの関係・活用法	権威構築	必須	解説記事
668	＋α	不動産投資 団信	N/A	70	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
669	＋α	不動産投資 騙された	31	40	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
670	＋α	不動産投資 団体信用生命保険	N/A	50	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
671	＋α	不動産投資 大学生	N/A	40	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
672	＋α	不動産投資 誰に相談	33	0	削除			解説		検索なし			対象外	不要
673	＋α	不動産投資 大規模修繕	25	20	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
674	＋α	不動産投資 団地	41	20	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
675	＋α	不動産投資 大失敗	28	10	記事	Know（リスク・デメリットを知りたい）	その他	解説	解説記事	リスク	不動産投資_リスク	不動産投資のリスクと対策を解説	権威構築	必須	解説記事
676	＋α	不動産投資 団信 なし	N/A	50	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
677	＋α	不動産投資 大東建託	N/A	90	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
678	＋α	不動産投資 diy	34	20	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
679	＋α	不動産投資 diy 資格	34	0	削除			解説		検索なし			対象外	不要
680	＋α	不動産投資 リフォーム diy	26	10	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
681	＋α	dips 不動産投資	N/A	0	削除			解説		検索なし			対象外	不要
682	＋α	不動産投資 妻名義	N/A	10	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
683	＋α	不動産投資 電話 からかう	34	590	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
684	＋α	不動産投資 デメリット	31	390	記事	Know（リスク・デメリットを知りたい）	その他	解説	解説記事	リスク	不動産投資_リスク	不動産投資のリスクと対策を解説	権威構築	必須	解説記事
685	＋α	不動産投資 電話 しつこい	48	140	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
686	＋α	不動産投資 出口戦略	32	170	記事	Know（売却戦略を知りたい）	その他	解説	解説記事	売却・出口	不動産投資_売却・出口		権威構築	補足
687	＋α	不動産投資 電話 会社名	46	50	記事	Buy（不動産投資会社を選びたい）	比較・検討	比較・解説	比較記事	おすすめ比較	不動産投資_おすすめ比較		権威構築	補足
688	＋α	不動産投資 電話	26	90	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
689	＋α	不動産投資 デッドクロス	N/A	50	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
690	＋α	不動産投資 デート商法	N/A	20	記事	Know（不動産投資の法律を確認したい）	法律・制度	解説	解説記事	法律・規制	不動産投資_法律・規制		権威構築	補足
691	＋α	不動産投資 電話営業	30	50	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
692	＋α	不動産投資 デッドクロスとは	N/A	10	記事	Know（不動産投資の始め方を知りたい）	基礎知識	解説	解説記事	基礎解説	不動産投資基礎解説	不動産投資とは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
693	＋α	不動産投資 どこがいい	N/A	40	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
694	＋α	不動産投資 どうなの	N/A	20	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
695	＋α	不動産投資 どうやる	59	0	削除			解説		検索なし			対象外	不要
696	＋α	不動産投資 ドバイ	21	210	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
697	＋α	不動産投資 どうやって利益	N/A	0	削除			解説		検索なし			対象外	不要
698	＋α	不動産投資 動画	N/A	40	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
699	＋α	不動産投資 どう	N/A	10	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
700	＋α	不動産投資 動向	N/A	10	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
701	＋α	不動産投資 独立	42	10	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
702	＋α	不動産投資 どこで 買う	31	40	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
703	＋α	不動産投資 売却 税金	28	140	記事	Know（不動産投資の税金を知りたい）	その他	解説	解説記事	税金・節税	不動産投資_税金・節税		権威構築	補足
704	＋α	不動産投資 売却	31	170	記事	Know（売却戦略を知りたい）	その他	解説	解説記事	売却・出口	不動産投資_売却・出口		権威構築	補足
705	＋α	不動産投資 売却タイミング	26	40	記事	Know（売却戦略を知りたい）	その他	解説	解説記事	売却・出口	不動産投資_売却・出口		権威構築	補足
706	＋α	不動産投資 売却益	N/A	40	記事	Know（売却戦略を知りたい）	その他	解説	解説記事	売却・出口	不動産投資_売却・出口		権威構築	補足
707	＋α	不動産投資 売却 確定申告	50	30	記事	Know（不動産投資の税金を知りたい）	その他	解説	解説記事	税金・節税	不動産投資申告		権威構築	補足
708	＋α	不動産投資 売却益 計算	46	10	計算ページ	Do（不動産投資をシミュレーションしたい）	計算方法	実務ガイド	計算ツール		不動産投資計算	不動産投資の計算方法・シミュレーション	ツール集客	必須	計算ツール
709	＋α	不動産投資 バブル	27	20	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
710	＋α	不動産投資 ババ抜き	N/A	10	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
711	＋α	不動産投資 売却 5年	N/A	0	削除			解説		検索なし			対象外	不要
712	＋α	不動産投資 バランスシート	N/A	10	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
713	＋α	不動産投資 ビル一棟	40	20	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
714	＋α	不動産投資 ビジネスモデル	N/A	20	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
715	＋α	不動産投資 ビル	N/A	40	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
716	＋α	不動産投資 ビジネス	44	10	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
717	＋α	不動産投資 ビザ	17	10	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
718	＋α	不動産投資 ビルオーナー	27	10	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
719	＋α	不動産投資 ビット	46	0	削除			解説		検索なし			対象外	不要
720	＋α	不動産投資 ビークル	23	10	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
721	＋α	不動産投資 ビル 利回り	N/A	0	削除			解説		検索なし			対象外	不要
722	＋α	不動産投資 貧乏	21	10	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
723	＋α	不動産投資 物件	39	720	記事	Know（物件タイプ別の投資を知りたい）	その他	解説	ガイド記事	物件タイプ別	不動産投資_物件タイプ別		権威構築	補足
724	＋α	不動産投資 ブログ	37	720	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
725	＋α	不動産投資 物件 探し方	29	110	記事	Know（物件タイプ別の投資を知りたい）	その他	解説	ガイド記事	物件タイプ別	不動産投資_物件タイプ別		権威構築	補足
726	＋α	不動産投資 分散	31	50	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
727	＋α	不動産投資 物件探し	38	50	記事	Know（物件タイプ別の投資を知りたい）	その他	解説	ガイド記事	物件タイプ別	不動産投資_物件タイプ別		権威構築	補足
728	＋α	不動産投資 分譲マンション	N/A	20	記事	Know（物件タイプ別の投資を知りたい）	その他	解説	ガイド記事	物件タイプ別	不動産投資_物件タイプ別		権威構築	補足
729	＋α	不動産投資 物件選び	28	30	記事	Know（物件タイプ別の投資を知りたい）	その他	解説	ガイド記事	物件タイプ別	不動産投資_物件タイプ別		権威構築	補足
730	＋α	不動産投資 分配金	N/A	10	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
731	＋α	不動産投資 ブランド	N/A	0	削除			解説		検索なし			対象外	不要
732	＋α	不動産投資 分配金 確定申告	N/A	10	記事	Know（不動産投資の税金を知りたい）	その他	解説	解説記事	税金・節税	不動産投資申告		権威構築	補足
733	＋α	不動産投資 勉強	38	320	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
734	＋α	不動産投資 勉強 本	37	70	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
735	＋α	不動産投資 勉強会	30	50	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
736	＋α	不動産投資 弁護士	N/A	50	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
737	＋α	不動産投資 勉強 資格	29	20	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
738	＋α	不動産投資 勉強の仕方	30	20	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
739	＋α	不動産投資 弁護士 相談	26	40	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
740	＋α	不動産投資 ベルテックス	N/A	30	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
741	＋α	不動産投資 別荘	N/A	10	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
742	＋α	不動産投資 弁護士 無料相談	N/A	10	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
743	＋α	不動産投資 ボロ戸建て	N/A	20	記事	Know（物件タイプ別の投資を知りたい）	その他	解説	ガイド記事	物件タイプ別	不動産投資_物件タイプ別		権威構築	補足
744	＋α	不動産投資 簿記	29	10	記事	Do（不動産投資の会計処理を調べたい）	会計処理	実務ガイド	解説記事	会計処理	不動産投資_会計処理		権威構築	補足
745	＋α	不動産投資 ボードゲーム	N/A	20	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
746	＋α	不動産投資 ボルテックス	43	30	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
747	＋α	不動産投資 募集	29	10	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
748	＋α	不動産投資 暴落	N/A	10	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
749	＋α	不動産投資 ボロ物件	N/A	10	記事	Know（物件タイプ別の投資を知りたい）	その他	解説	ガイド記事	物件タイプ別	不動産投資_物件タイプ別		権威構築	補足
750	＋α	不動産投資 ボロアパート	43	10	記事	Know（物件タイプ別の投資を知りたい）	その他	解説	ガイド記事	物件タイプ別	不動産投資_物件タイプ別		権威構築	補足
751	＋α	不動産投資 簿価	20	0	削除			解説		検索なし			対象外	不要
752	＋α	不動産投資 ボラティリティ	28	0	削除			解説		検索なし			対象外	不要
753	＋α	不動産投資 パソコン 経費	31	70	記事	Know（減価償却・経費を知りたい）	会計処理	解説	解説記事	会計・経費	不動産投資_会計・経費		権威構築	補足
754	＋α	不動産投資 paypay	40	0	削除			解説		検索なし			対象外	不要
755	＋α	不動産投資 パンフレット	24	10	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
756	＋α	不動産投資 paypayポイント	39	0	削除			解説		検索なし			対象外	不要
757	＋α	不動産投資 パートナーズ	32	10	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
758	＋α	不動産投資 パート	N/A	10	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
